data_extracao,campeonato,partida,casa,fora,data_hora,mercado,selecao,linha,odd,url_evento,url_liga
2025-11-07T02:54:00.815399+00:00,Brasileirão - Série B,Grêmio Novorizontino x Remo,Grêmio Novorizontino,Remo,2025-11-08T19:00:00Z,1X2,X,,3.6,https://www.betano.bet.br/odds/gremio-novorizontino-remo/75665043/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:00.815409+00:00,Brasileirão - Série B,Grêmio Novorizontino x Remo,Grêmio Novorizontino,Remo,2025-11-08T19:00:00Z,1X2,2,,4.45,https://www.betano.bet.br/odds/gremio-novorizontino-remo/75665043/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:04.788549+00:00,Brasileirão - Série B,Grêmio Novorizontino x Remo,Grêmio Novorizontino,Remo,2025-11-08T19:00:00Z,Total de Gols,Over,2.5,2.05,https://www.betano.bet.br/odds/gremio-novorizontino-remo/75665043/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:04.788573+00:00,Brasileirão - Série B,Grêmio Novorizontino x Remo,Grêmio Novorizontino,Remo,2025-11-08T19:00:00Z,Total de Gols,Under,2.5,1.72,https://www.betano.bet.br/odds/gremio-novorizontino-remo/75665043/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:09.532227+00:00,Brasileirão - Série B,Athletico-PR x Volta Redonda,Athletico-PR,Volta Redonda,2025-11-08T21:30:00Z,1X2,1,,1.39,https://www.betano.bet.br/odds/athletico-pr-volta-redonda/75665059/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:09.532256+00:00,Brasileirão - Série B,Athletico-PR x Volta Redonda,Athletico-PR,Volta Redonda,2025-11-08T21:30:00Z,1X2,X,,4.35,https://www.betano.bet.br/odds/athletico-pr-volta-redonda/75665059/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:09.532269+00:00,Brasileirão - Série B,Athletico-PR x Volta Redonda,Athletico-PR,Volta Redonda,2025-11-08T21:30:00Z,1X2,2,,9.0,https://www.betano.bet.br/odds/athletico-pr-volta-redonda/75665059/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:13.558803+00:00,Brasileirão - Série B,Athletico-PR x Volta Redonda,Athletico-PR,Volta Redonda,2025-11-08T21:30:00Z,Total de Gols,Over,2.5,1.93,https://www.betano.bet.br/odds/athletico-pr-volta-redonda/75665059/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:13.558828+00:00,Brasileirão - Série B,Athletico-PR x Volta Redonda,Athletico-PR,Volta Redonda,2025-11-08T21:30:00Z,Total de Gols,Under,2.5,1.82,https://www.betano.bet.br/odds/athletico-pr-volta-redonda/75665059/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
2025-11-07T02:54:18.328142+00:00,Brasileirão - Série B,Cuiabá x Goiás,Cuiabá,Goiás,2025-11-08T00:30:00Z,1X2,1,,2.4,https://www.betano.bet.br/odds/cuiaba-goias/75665041/,https://www.betano.bet.br/sport/futebol/brasil/brasileirao-serie-b/10017/
