player_name,club_name,json_club,league_name
Miguel Gutiérrez,Girona FC,Girona FC,La Liga
Arnau Martínez,Girona FC,Girona FC,La Liga
Ferran Ruiz,Girona FC,Girona FC,La Liga
Arthur Melo,Girona FC,Girona FC,La Liga
Oriol Romeu,Girona FC,Girona FC,La Liga
Selvi Clua,Girona FC,Girona FC,La Liga
Yangel Herrera,Girona FC,Girona FC,La Liga
Donny van de Beek,Girona FC,Girona FC,La Liga
Jhon Solís,Girona FC,Girona FC,La Liga
Enric García,Girona FC,Girona FC,La Liga
Raúl Martínez,Girona FC,Girona FC,La Liga
Iván Martín,Girona FC,Girona FC,La Liga
Gabriel Misehouy,Girona FC,Girona FC,La Liga
Ricard Artero,Girona FC,Girona FC,La Liga
Bryan Gil,Girona FC,Girona FC,La Liga
Arnaut Danjuma,Girona FC,Girona FC,La Liga
Joel Roca,Girona FC,Girona FC,La Liga
Toni Villa,Girona FC,Girona FC,La Liga
Min-su Kim,Girona FC,Girona FC,La Liga
Juan Arango,Girona FC,Girona FC,La Liga
Jastin Garcia,Girona FC,Girona FC,La Liga
Viktor Tsygankov,Girona FC,Girona FC,La Liga
Yáser Asprilla,Girona FC,Girona FC,La Liga
Portu,Girona FC,Girona FC,La Liga
Iker Almena,Girona FC,Girona FC,La Liga
Papa Ba,Girona FC,Girona FC,La Liga
Abel Ruiz,Girona FC,Girona FC,La Liga
Bojan Miovski,Girona FC,Girona FC,La Liga
Cristhian Stuani,Girona FC,Girona FC,La Liga
Dawda Camara,Girona FC,Girona FC,La Liga
Iván Villar,Celta de Vigo,Celta de Vigo,La Liga
Vicente Guaita,Celta de Vigo,Celta de Vigo,La Liga
Marc Vidal,Celta de Vigo,Celta de Vigo,La Liga
Coke Carrillo,Celta de Vigo,Celta de Vigo,La Liga
César Fernández,Celta de Vigo,Celta de Vigo,La Liga
Javi Rodríguez,Celta de Vigo,Celta de Vigo,La Liga
Carl Starfelt,Celta de Vigo,Celta de Vigo,La Liga
Carlos Domínguez,Celta de Vigo,Celta de Vigo,La Liga
Marcos Alonso,Celta de Vigo,Celta de Vigo,La Liga
Joseph Aidoo,Celta de Vigo,Celta de Vigo,La Liga
Yoel Lago,Celta de Vigo,Celta de Vigo,La Liga
Mihailo Ristic,Celta de Vigo,Celta de Vigo,La Liga
Tincho Conde,Celta de Vigo,Celta de Vigo,La Liga
Óscar Mingueza,Celta de Vigo,Celta de Vigo,La Liga
Sergio Carreira,Celta de Vigo,Celta de Vigo,La Liga
Javier Manquillo,Celta de Vigo,Celta de Vigo,La Liga
Damián Rodríguez,Celta de Vigo,Celta de Vigo,La Liga
Jailson,Celta de Vigo,Celta de Vigo,La Liga
Fran Beltrán,Celta de Vigo,Celta de Vigo,La Liga
Ilaix Moriba,Celta de Vigo,Celta de Vigo,La Liga
Hugo Sotelo,Celta de Vigo,Celta de Vigo,La Liga
Luca de la Torre,Celta de Vigo,Celta de Vigo,La Liga
