pais,liga,url_liga
Leagues,Copa Maria Bonita W,https://www.betano.bet.br/en/sport/soccer/brazil/copa-maria-bonita-w/205340/
Leagues,Copa Do Brasil W,https://www.betano.bet.br/en/sport/soccer/brazil/copa-do-brasil-w/18070/
Leagues,Conmebol Clubs,https://www.betano.bet.br/en/sport/soccer/competitions/conmebol-clubs/11318/
Leagues,Champions League,https://www.betano.bet.br/en/sport/soccer/competitions/champions-league/188566/
Leagues,Europa League,https://www.betano.bet.br/en/sport/soccer/competitions/europa-league/188567/
Leagues,Conference League,https://www.betano.bet.br/en/sport/soccer/competitions/conference-league/189602/
Leagues,England,https://www.betano.bet.br/en/sport/soccer/competitions/england/1/
Leagues,Spain,https://www.betano.bet.br/en/sport/soccer/competitions/spain/2/
Leagues,Italy,https://www.betano.bet.br/en/sport/soccer/competitions/italy/87/
Leagues,Germany,https://www.betano.bet.br/en/sport/soccer/competitions/germany/24/
Leagues,France,https://www.betano.bet.br/en/sport/soccer/competitions/france/23/
Leagues,Saudi Arabia,https://www.betano.bet.br/en/sport/soccer/competitions/saudi-arabia/11462/
Leagues,Argentina,https://www.betano.bet.br/en/sport/soccer/competitions/argentina/11319/
Leagues,Chile,https://www.betano.bet.br/en/sport/soccer/competitions/chile/11331/
Leagues,Colombia,https://www.betano.bet.br/en/sport/soccer/competitions/colombia/11333/
Leagues,Mexico,https://www.betano.bet.br/en/sport/soccer/competitions/mexico/11375/
Leagues,Austria,https://www.betano.bet.br/en/sport/soccer/competitions/austria/11322/
Leagues,Belgium,https://www.betano.bet.br/en/sport/soccer/competitions/belgium/11324/
Leagues,Bulgaria,https://www.betano.bet.br/en/sport/soccer/competitions/bulgaria/11328/
Leagues,Cyprus,https://www.betano.bet.br/en/sport/soccer/competitions/cyprus/11336/
Leagues,Croatia,https://www.betano.bet.br/en/sport/soccer/competitions/croatia/11334/
Leagues,Denmark,https://www.betano.bet.br/en/sport/soccer/competitions/denmark/11339/
Leagues,Scotland,https://www.betano.bet.br/en/sport/soccer/competitions/scotland/91/
Leagues,Slovakia,https://www.betano.bet.br/en/sport/soccer/competitions/slovakia/11392/
Leagues,Finland,https://www.betano.bet.br/en/sport/soccer/competitions/finland/11355/
Leagues,Wales,https://www.betano.bet.br/en/sport/soccer/competitions/wales/11433/
Leagues,Greece,https://www.betano.bet.br/en/sport/soccer/competitions/greece/90/
Leagues,Netherlands,https://www.betano.bet.br/en/sport/soccer/competitions/netherlands/11376/
Leagues,Hungary,https://www.betano.bet.br/en/sport/soccer/competitions/hungary/11363/
Leagues,Ireland,https://www.betano.bet.br/en/sport/soccer/competitions/ireland/11367/
Leagues,Northern Ireland,https://www.betano.bet.br/en/sport/soccer/competitions/northern-ireland/11377/
Leagues,Kosovo,https://www.betano.bet.br/en/sport/soccer/competitions/kosovo/188916/
Leagues,Luxembourg,https://www.betano.bet.br/en/sport/soccer/competitions/luxembourg/188713/
Leagues,Montenegro,https://www.betano.bet.br/en/sport/soccer/competitions/montenegro/11517/
Leagues,Norway,https://www.betano.bet.br/en/sport/soccer/competitions/norway/11378/
Leagues,Poland,https://www.betano.bet.br/en/sport/soccer/competitions/poland/11381/
Leagues,Portugal,https://www.betano.bet.br/en/sport/soccer/competitions/portugal/11382/
Leagues,Czechia,https://www.betano.bet.br/en/sport/soccer/competitions/czechia/11338/
Leagues,Romania,https://www.betano.bet.br/en/sport/soccer/competitions/romania/11383/
Leagues,Serbia,https://www.betano.bet.br/en/sport/soccer/competitions/serbia/11389/
Leagues,Sweden,https://www.betano.bet.br/en/sport/soccer/competitions/sweden/11393/
Leagues,Switzerland,https://www.betano.bet.br/en/sport/soccer/competitions/switzerland/11394/
Leagues,Turkey,https://www.betano.bet.br/en/sport/soccer/competitions/turkey/11384/
Leagues,Ukraine,https://www.betano.bet.br/en/sport/soccer/competitions/ukraine/11386/
Leagues,Bolivia,https://www.betano.bet.br/en/sport/soccer/competitions/bolivia/11325/
Leagues,Canada,https://www.betano.bet.br/en/sport/soccer/competitions/canada/11457/
Leagues,Costa Rica,https://www.betano.bet.br/en/sport/soccer/competitions/costa-rica/11453/
Leagues,Ecuador,https://www.betano.bet.br/en/sport/soccer/competitions/ecuador/11340/
Leagues,Usa,https://www.betano.bet.br/en/sport/soccer/competitions/usa/11387/
Leagues,Guatemala,https://www.betano.bet.br/en/sport/soccer/competitions/guatemala/11434/
Leagues,Jamaica,https://www.betano.bet.br/en/sport/soccer/competitions/jamaica/11461/
Leagues,Panama,https://www.betano.bet.br/en/sport/soccer/competitions/panama/11507/
Leagues,Paraguay,https://www.betano.bet.br/en/sport/soccer/competitions/paraguay/11379/
Leagues,Peru,https://www.betano.bet.br/en/sport/soccer/competitions/peru/11380/
Leagues,El Salvador,https://www.betano.bet.br/en/sport/soccer/competitions/el-salvador/11488/
Leagues,Uruguay,https://www.betano.bet.br/en/sport/soccer/competitions/uruguay/11388/
Leagues,South Africa,https://www.betano.bet.br/en/sport/soccer/competitions/south-africa/11481/
Leagues,Australia,https://www.betano.bet.br/en/sport/soccer/competitions/australia/11321/
Leagues,Cambodia,https://www.betano.bet.br/en/sport/soccer/competitions/cambodia/189060/
Leagues,Qatar,https://www.betano.bet.br/en/sport/soccer/competitions/qatar/11447/
Leagues,China,https://www.betano.bet.br/en/sport/soccer/competitions/china/11332/
Leagues,South Korea,https://www.betano.bet.br/en/sport/soccer/competitions/south-korea/11373/
Leagues,Egypt,https://www.betano.bet.br/en/sport/soccer/competitions/egypt/11485/
Leagues,Fiji,https://www.betano.bet.br/en/sport/soccer/competitions/fiji/188668/
Leagues,Hong Kong,https://www.betano.bet.br/en/sport/soccer/competitions/hong-kong/11449/
Leagues,India,https://www.betano.bet.br/en/sport/soccer/competitions/india/11369/
Leagues,Iran,https://www.betano.bet.br/en/sport/soccer/competitions/iran/11477/
Leagues,Iraq,https://www.betano.bet.br/en/sport/soccer/competitions/iraq/11490/
Leagues,Japan,https://www.betano.bet.br/en/sport/soccer/competitions/japan/11372/
Leagues,Jordan,https://www.betano.bet.br/en/sport/soccer/competitions/jordan/11443/
Leagues,Mauritania,https://www.betano.bet.br/en/sport/soccer/competitions/mauritania/189260/
Leagues,Kyrgyzstan,https://www.betano.bet.br/en/sport/soccer/competitions/kyrgyzstan/188817/
Leagues,Singapore,https://www.betano.bet.br/en/sport/soccer/competitions/singapore/11403/
Leagues,Thailand,https://www.betano.bet.br/en/sport/soccer/competitions/thailand/11425/
Leagues,Zanzibar,https://www.betano.bet.br/en/sport/soccer/competitions/zanzibar/189397/
Leagues,Euro,https://www.betano.bet.br/en/sport/soccer/competitions/euro/189663/
Leagues,Fifa Clubs,https://www.betano.bet.br/en/sport/soccer/competitions/fifa-clubs/189658/
Leagues,Uefa Clubs,https://www.betano.bet.br/en/sport/soccer/competitions/uefa-clubs/189656/
Leagues,Caf,https://www.betano.bet.br/en/sport/soccer/competitions/caf/188971/
Leagues,International,https://www.betano.bet.br/en/sport/soccer/competitions/international/11364/
Leagues,International Clubs,https://www.betano.bet.br/en/sport/soccer/competitions/international-clubs/11396/
