Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
3,Tue,2016-03-08,Sporting Cristal (PER),Huracán (ARG),3-2,2-0,
5,Tue,2016-03-15,Peñarol (URU),Atlético Nacional (COL),0-4,0-2,
7,Tue,2016-04-05,Huracán (ARG),Sporting Cristal (PER),4-2,2-2,
9,Tue,2016-04-12,Huracán (ARG),Peñarol (URU),0-0,,
9,Tue,2016-04-12,Sporting Cristal (PER),Atlético Nacional (COL),0-1,0-1,
11,Tue,2016-04-19,Atlético Nacional (COL),Huracán (ARG),0-0,,
11,Tue,2016-04-19,Peñarol (URU),Sporting Cristal (PER),4-3,1-3,
1,Wed,2016-02-17,FBC Melgar (PER),Atlético-MG,1-2,1-2,
1,Thu,2016-02-18,Independiente del Valle (ECU),Colo-Colo (CHI),1-1,0-0,
2,Wed,2016-02-24,Colo-Colo (CHI),FBC Melgar (PER),1-0,0-0,
2,Wed,2016-02-24,Atlético-MG,Independiente del Valle (ECU),1-0,1-0,
3,Tue,2016-03-01,FBC Melgar (PER),Independiente del Valle (ECU),0-1,0-1,
5,Thu,2016-03-10,Colo-Colo (CHI),Atlético-MG,0-0,,
5,Tue,2016-03-15,Independiente del Valle (ECU),FBC Melgar (PER),2-0,1-0,
6,Wed,2016-03-16,Atlético-MG,Colo-Colo (CHI),3-0,2-0,
8,Wed,2016-04-06,Independiente del Valle (ECU),Atlético-MG,3-2,3-1,
9,Thu,2016-04-07,FBC Melgar (PER),Colo-Colo (CHI),1-2,0-0,
11,Thu,2016-04-14,Atlético-MG,FBC Melgar (PER),4-0,3-0,
11,Thu,2016-04-14,Colo-Colo (CHI),Independiente del Valle (ECU),0-0,,
1,Thu,2016-02-18,Deportivo Toluca (MEX),Grêmio,2-0,0-0,
1,Tue,2016-02-23,LDU Quito (ECU),San Lorenzo (ARG),2-0,0-0,
3,Wed,2016-03-02,San Lorenzo (ARG),Deportivo Toluca (MEX),1-1,1-1,
3,Wed,2016-03-02,Grêmio,LDU Quito (ECU),4-0,2-0,
4,Wed,2016-03-09,Grêmio,San Lorenzo (ARG),1-1,1-1,
5,Thu,2016-03-10,LDU Quito (ECU),Deportivo Toluca (MEX),1-2,0-1,
5,Tue,2016-03-15,San Lorenzo (ARG),Grêmio,1-1,1-0,
7,Tue,2016-04-05,Deportivo Toluca (MEX),LDU Quito (ECU),2-1,1-1,
9,Tue,2016-04-12,Deportivo Toluca (MEX),San Lorenzo (ARG),2-1,0-1,
10,Wed,2016-04-13,LDU Quito (ECU),Grêmio,2-3,0-2,
11,Tue,2016-04-19,Grêmio,Deportivo Toluca (MEX),1-0,1-0,
11,Tue,2016-04-19,San Lorenzo (ARG),LDU Quito (ECU),1-1,0-0,
1,Wed,2016-02-17,Deportivo Táchira (VEN),Club Olimpia (PAR),2-1,1-0,
1,Fri,2016-02-19,Pumas UNAM (MEX),Emelec (ECU),4-2,2-1,
2,Thu,2016-02-25,Emelec (ECU),Deportivo Táchira (VEN),2-0,0-0,
3,Tue,2016-03-01,Club Olimpia (PAR),Pumas UNAM (MEX),0-2,0-0,
4,Tue,2016-03-08,Emelec (ECU),Club Olimpia (PAR),2-2,1-2,
4,Wed,2016-03-09,Deportivo Táchira (VEN),Pumas UNAM (MEX),2-0,2-0,
7,Thu,2016-03-17,Club Olimpia (PAR),Emelec (ECU),4-2,1-1,
7,Fri,2016-03-18,Pumas UNAM (MEX),Deportivo Táchira (VEN),4-1,1-0,
8,Tue,2016-04-05,Deportivo Táchira (VEN),Emelec (ECU),1-0,1-0,
9,Thu,2016-04-07,Pumas UNAM (MEX),Club Olimpia (PAR),4-1,0-1,
10,Wed,2016-04-13,Club Olimpia (PAR),Deportivo Táchira (VEN),4-0,2-0,
10,Wed,2016-04-13,Emelec (ECU),Pumas UNAM (MEX),2-3,1-2,
1,Wed,2016-02-17,Santa Fe (COL),Cerro Porteño (PAR),0-0,,
1,Wed,2016-02-17,Cobresal (CHI),Corinthians,0-1,0-0,
2,Thu,2016-02-25,Cerro Porteño (PAR),Cobresal (CHI),2-1,0-0,
3,Wed,2016-03-02,Corinthians,Santa Fe (COL),1-0,0-0,
4,Wed,2016-03-09,Cobresal (CHI),Santa Fe (COL),1-2,0-2,
4,Wed,2016-03-09,Cerro Porteño (PAR),Corinthians,3-2,0-1,
5,Tue,2016-03-15,Santa Fe (COL),Cobresal (CHI),3-0,2-0,
6,Wed,2016-03-16,Corinthians,Cerro Porteño (PAR),2-0,1-0,
8,Wed,2016-04-06,Santa Fe (COL),Corinthians,1-1,1-0,
10,Wed,2016-04-13,Cobresal (CHI),Cerro Porteño (PAR),2-0,0-0,
12,Wed,2016-04-20,Corinthians,Cobresal (CHI),6-0,4-0,
12,Wed,2016-04-20,Cerro Porteño (PAR),Santa Fe (COL),1-0,1-0,
Round of 16,Tue,2016-04-26,Huracán (ARG),Atlético Nacional (COL),0-0,,
Round of 16,Tue,2016-04-26,Deportivo Táchira (VEN),Pumas UNAM (MEX),1-0,0-0,
Round of 16,Wed,2016-04-27,Racing Club (ARG),Atlético-MG,0-0,,
Round of 16,Wed,2016-04-27,Nacional (URU),Corinthians,0-0,,
Round of 16,Wed,2016-04-27,Grêmio,Rosario Central (ARG),0-1,0-1,
Round of 16,Thu,2016-04-28,Independiente del Valle (ECU),River Plate (URU),2-0,0-0,
Round of 16,Thu,2016-04-28,São Paulo,Deportivo Toluca (MEX),4-0,2-0,
Round of 16,Thu,2016-04-28,Cerro Porteño (PAR),Boca Juniors (ARG),1-2,0-1,
Round of 16,Tue,2016-05-03,Atlético Nacional (COL),Huracán (ARG),4-2,1-1,
Round of 16,Tue,2016-05-03,Pumas UNAM (MEX),Deportivo Táchira (VEN),2-0,1-0,
Round of 16,Wed,2016-05-04,Deportivo Toluca (MEX),São Paulo,3-1,1-0,
Round of 16,Wed,2016-05-04,River Plate (URU),Independiente del Valle (ECU),1-0,0-0,
Round of 16,Wed,2016-05-04,Corinthians,Nacional (URU),2-2,1-1,
Round of 16,Wed,2016-05-04,Atlético-MG,Racing Club (ARG),2-1,1-1,
Round of 16,Thu,2016-05-05,Rosario Central (ARG),Grêmio,3-0,2-0,
Round of 16,Thu,2016-05-05,Boca Juniors (ARG),Cerro Porteño (PAR),3-1,1-1,
Quarterfinals,Wed,2016-05-11,São Paulo,Atlético-MG,1-0,0-0,
Quarterfinals,Thu,2016-05-12,Nacional (URU),Boca Juniors (ARG),1-1,0-0,
Quarterfinals,Thu,2016-05-12,Rosario Central (ARG),Atlético Nacional (COL),1-0,1-0,
Quarterfinals,Tue,2016-05-17,Independiente del Valle (ECU),Pumas UNAM (MEX),2-1,1-0,
Quarterfinals,Wed,2016-05-18,Atlético-MG,São Paulo,2-1,2-1,
Quarterfinals,Thu,2016-05-19,Boca Juniors (ARG),Nacional (URU),1-1,1-1,4-3
Quarterfinals,Thu,2016-05-19,Atlético Nacional (COL),Rosario Central (ARG),3-1,1-1,
Quarterfinals,Tue,2016-05-24,Pumas UNAM (MEX),Independiente del Valle (ECU),2-1,2-1,3-5
Semifinals,Wed,2016-07-06,São Paulo,Atlético Nacional (COL),0-2,0-0,
Semifinals,Thu,2016-07-07,Independiente del Valle (ECU),Boca Juniors (ARG),2-1,0-1,
Semifinals,Wed,2016-07-13,Atlético Nacional (COL),São Paulo,2-1,1-1,
Semifinals,Thu,2016-07-14,Boca Juniors (ARG),Independiente del Valle (ECU),2-3,1-1,
Final,Wed,2016-07-20,Independiente del Valle (ECU),Atlético Nacional (COL),1-1,0-1,
Final,Wed,2016-07-27,Atlético Nacional (COL),Independiente del Valle (ECU),1-0,1-0,
