Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
4,Wed,2019-04-10,Nacional (URU),Zamora FC (VEN),1-0,0-0,
5,Tue,2019-04-23,Atlético-MG,Nacional (URU),0-1,0-0,
5,Thu,2019-04-25,Zamora FC (VEN),Cerro Porteño (PAR),2-1,1-0,
6,Tue,2019-05-07,Zamora FC (VEN),Atlético-MG,1-2,0-2,
6,Tue,2019-05-07,Nacional (URU),Cerro Porteño (PAR),1-1,0-1,
1,Tue,2019-03-05,FBC Melgar (PER),San Lorenzo (ARG),0-0,,
1,Wed,2019-03-06,Atlético Junior (COL),Palmeiras,0-2,0-1,
2,Tue,2019-03-12,Palmeiras,FBC Melgar (PER),3-0,1-0,
2,Wed,2019-03-13,San Lorenzo (ARG),Atlético Junior (COL),1-0,0-0,
3,Tue,2019-04-02,San Lorenzo (ARG),Palmeiras,1-0,0-0,
3,Tue,2019-04-02,FBC Melgar (PER),Atlético Junior (COL),1-0,0-0,
4,Tue,2019-04-09,San Lorenzo (ARG),FBC Melgar (PER),2-0,1-0,
4,Wed,2019-04-10,Palmeiras,Atlético Junior (COL),3-0,1-0,
5,Thu,2019-04-25,Atlético Junior (COL),San Lorenzo (ARG),1-0,1-0,
5,Thu,2019-04-25,FBC Melgar (PER),Palmeiras,0-4,0-2,
6,Wed,2019-05-08,Atlético Junior (COL),FBC Melgar (PER),0-1,0-1,
6,Wed,2019-05-08,Palmeiras,San Lorenzo (ARG),1-0,0-0,
1,Tue,2019-03-05,Deportes Tolima (COL),Athletico-PR,1-0,1-0,
1,Tue,2019-03-05,Jorge Wilstermann (BOL),Boca Juniors (ARG),0-0,,
2,Tue,2019-03-12,Boca Juniors (ARG),Deportes Tolima (COL),3-0,0-0,
2,Thu,2019-03-14,Athletico-PR,Jorge Wilstermann (BOL),4-0,2-0,
3,Tue,2019-04-02,Athletico-PR,Boca Juniors (ARG),3-0,1-0,
3,Wed,2019-04-03,Deportes Tolima (COL),Jorge Wilstermann (BOL),2-2,1-0,
4,Tue,2019-04-09,Athletico-PR,Deportes Tolima (COL),1-0,0-0,
4,Wed,2019-04-10,Boca Juniors (ARG),Jorge Wilstermann (BOL),4-0,1-0,
5,Wed,2019-04-24,Jorge Wilstermann (BOL),Athletico-PR,3-2,1-1,
5,Wed,2019-04-24,Deportes Tolima (COL),Boca Juniors (ARG),2-2,2-2,
6,Thu,2019-05-09,Boca Juniors (ARG),Athletico-PR,2-1,0-0,
6,Thu,2019-05-09,Jorge Wilstermann (BOL),Deportes Tolima (COL),0-2,0-1,
1,Tue,2019-03-05,Libertad (PAR),Universidad Católica (CHI),4-1,2-1,
1,Wed,2019-03-06,Rosario Central (ARG),Grêmio,1-1,1-1,
2,Tue,2019-03-12,Grêmio,Libertad (PAR),0-1,0-1,
2,Wed,2019-03-13,Universidad Católica (CHI),Rosario Central (ARG),2-1,1-0,
3,Thu,2019-04-04,Universidad Católica (CHI),Grêmio,1-0,1-0,
3,Thu,2019-04-04,Libertad (PAR),Rosario Central (ARG),2-0,0-0,
4,Wed,2019-04-10,Universidad Católica (CHI),Libertad (PAR),2-3,1-2,
4,Wed,2019-04-10,Grêmio,Rosario Central (ARG),3-1,1-0,
5,Tue,2019-04-23,Libertad (PAR),Grêmio,0-2,0-1,
5,Wed,2019-04-24,Rosario Central (ARG),Universidad Católica (CHI),1-1,0-1,
6,Wed,2019-05-08,Rosario Central (ARG),Libertad (PAR),2-1,1-0,
6,Wed,2019-05-08,Grêmio,Universidad Católica (CHI),2-0,1-0,
Round of 16,Tue,2019-07-23,River Plate (ARG),Cruzeiro,0-0,,
Round of 16,Tue,2019-07-23,Godoy Cruz (ARG),Palmeiras,2-2,2-1,
Round of 16,Tue,2019-07-23,LDU Quito (ECU),Club Olimpia (PAR),3-1,1-0,
Round of 16,Wed,2019-07-24,Nacional (URU),Internacional,0-1,0-0,
Round of 16,Wed,2019-07-24,San Lorenzo (ARG),Cerro Porteño (PAR),0-0,,
Round of 16,Wed,2019-07-24,Emelec (ECU),Flamengo,2-0,1-0,
Round of 16,Wed,2019-07-24,Athletico-PR,Boca Juniors (ARG),0-1,0-0,
Round of 16,Thu,2019-07-25,Grêmio,Libertad (PAR),2-0,0-0,
Round of 16,Tue,2019-07-30,Cruzeiro,River Plate (ARG),0-0,0-0,2-4
Round of 16,Tue,2019-07-30,Palmeiras,Godoy Cruz (ARG),4-0,0-0,
Round of 16,Tue,2019-07-30,Club Olimpia (PAR),LDU Quito (ECU),1-1,1-1,
Round of 16,Wed,2019-07-31,Internacional,Nacional (URU),2-0,1-0,
Round of 16,Wed,2019-07-31,Cerro Porteño (PAR),San Lorenzo (ARG),2-1,0-1,
Round of 16,Wed,2019-07-31,Flamengo,Emelec (ECU),2-0,2-0,4-2
Round of 16,Wed,2019-07-31,Boca Juniors (ARG),Athletico-PR,2-0,0-0,
Round of 16,Thu,2019-08-01,Libertad (PAR),Grêmio,0-3,0-3,
Quarterfinals,Tue,2019-08-20,Grêmio,Palmeiras,0-1,0-1,
Quarterfinals,Wed,2019-08-21,LDU Quito (ECU),Boca Juniors (ARG),0-3,0-1,
Quarterfinals,Wed,2019-08-21,Flamengo,Internacional,2-0,0-0,
Quarterfinals,Thu,2019-08-22,River Plate (ARG),Cerro Porteño (PAR),2-0,1-0,
Quarterfinals,Tue,2019-08-27,Palmeiras,Grêmio,1-2,1-2,
Quarterfinals,Wed,2019-08-28,Boca Juniors (ARG),LDU Quito (ECU),0-0,,
Quarterfinals,Wed,2019-08-28,Internacional,Flamengo,1-1,0-0,
Quarterfinals,Thu,2019-08-29,Cerro Porteño (PAR),River Plate (ARG),1-1,1-0,
Semifinals,Tue,2019-10-01,River Plate (ARG),Boca Juniors (ARG),2-0,1-0,
Semifinals,Wed,2019-10-02,Grêmio,Flamengo,1-1,0-0,
Semifinals,Tue,2019-10-22,Boca Juniors (ARG),River Plate (ARG),1-0,0-0,
Semifinals,Wed,2019-10-23,Flamengo,Grêmio,5-0,1-0,
Final,Sat,2019-11-23,Flamengo,River Plate (ARG),2-1,0-1,
