Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
6,Tue,2018-05-01,Real Garcilaso (PER),Estudiantes (ARG),0-0,,
6,Tue,2018-05-01,Nacional (URU),Santos,1-0,0-0,
8,Thu,2018-05-24,Estudiantes (ARG),Nacional (URU),3-1,0-1,
8,Thu,2018-05-24,Santos,Real Garcilaso (PER),0-0,,
1,Wed,2018-02-28,Millonarios (COL),Corinthians,0-0,,
1,Thu,2018-03-01,Deportivo Lara (VEN),Independiente (ARG),1-0,1-0,
2,Wed,2018-03-14,Corinthians,Deportivo Lara (VEN),2-0,0-0,
2,Thu,2018-03-15,Independiente (ARG),Millonarios (COL),1-0,1-0,
4,Tue,2018-04-17,Millonarios (COL),Deportivo Lara (VEN),4-0,2-0,
4,Wed,2018-04-18,Independiente (ARG),Corinthians,0-1,0-0,
5,Tue,2018-04-24,Deportivo Lara (VEN),Millonarios (COL),2-1,2-0,
6,Wed,2018-05-02,Corinthians,Independiente (ARG),1-2,1-2,
7,Thu,2018-05-17,Deportivo Lara (VEN),Corinthians,2-7,1-2,
7,Thu,2018-05-17,Millonarios (COL),Independiente (ARG),1-1,0-0,
8,Thu,2018-05-24,Corinthians,Millonarios (COL),0-1,0-0,
8,Thu,2018-05-24,Independiente (ARG),Deportivo Lara (VEN),2-0,1-0,
1,Thu,2018-03-01,Alianza Lima (PER),Boca Juniors (ARG),0-0,,
1,Thu,2018-03-01,Atlético Junior (COL),Palmeiras,0-3,0-1,
3,Tue,2018-04-03,Palmeiras,Alianza Lima (PER),2-0,1-0,
3,Wed,2018-04-04,Boca Juniors (ARG),Atlético Junior (COL),1-0,1-0,
4,Wed,2018-04-11,Palmeiras,Boca Juniors (ARG),1-1,0-0,
4,Thu,2018-04-19,Alianza Lima (PER),Atlético Junior (COL),0-2,0-1,
5,Wed,2018-04-25,Boca Juniors (ARG),Palmeiras,0-2,0-1,
5,Thu,2018-04-26,Atlético Junior (COL),Alianza Lima (PER),1-0,0-0,
6,Wed,2018-05-02,Atlético Junior (COL),Boca Juniors (ARG),1-1,1-0,
6,Thu,2018-05-03,Alianza Lima (PER),Palmeiras,1-3,0-2,
7,Wed,2018-05-16,Boca Juniors (ARG),Alianza Lima (PER),5-0,4-0,
7,Wed,2018-05-16,Palmeiras,Atlético Junior (COL),3-1,0-0,
Round of 16,Tue,2018-08-07,Estudiantes (ARG),Grêmio,2-1,2-1,
Round of 16,Wed,2018-08-08,Boca Juniors (ARG),Libertad (PAR),2-0,2-0,
Round of 16,Wed,2018-08-08,Colo-Colo (CHI),Corinthians,1-0,1-0,
Round of 16,Wed,2018-08-08,Flamengo,Cruzeiro,0-2,0-1,
Round of 16,Thu,2018-08-09,Racing Club (ARG),River Plate (ARG),0-0,,
Round of 16,Thu,2018-08-09,Atlético Tucumán (ARG),Atlético Nacional (COL),2-0,1-0,
Round of 16,Thu,2018-08-09,Cerro Porteño (PAR),Palmeiras,0-2,0-0,
Round of 16,Tue,2018-08-21,Independiente (ARG),Santos,3-0,0-0,
