Matchday,Day,Date,Home,Away,FullTime,HalfTime,Penalties
5,Tue,2022-05-17,Bragantino,Estudiantes (ARG),0-1,0-0,
5,Wed,2022-05-18,Nacional (URU),Vélez Sarsfield (ARG),2-3,1-1,
6,Tue,2022-05-24,Vélez Sarsfield (ARG),Estudiantes (ARG),4-0,2-0,
6,Tue,2022-05-24,Nacional (URU),Bragantino,3-0,2-0,
1,Wed,2022-04-06,América-MG,Independiente del Valle (ECU),0-2,0-1,
1,Wed,2022-04-06,Deportes Tolima (COL),Atlético-MG,0-2,0-1,
2,Wed,2022-04-13,Atlético-MG,América-MG,1-1,0-0,
2,Wed,2022-04-13,Independiente del Valle (ECU),Deportes Tolima (COL),2-2,0-2,
3,Tue,2022-04-26,Independiente del Valle (ECU),Atlético-MG,1-1,0-1,
3,Wed,2022-04-27,América-MG,Deportes Tolima (COL),2-3,0-0,
4,Tue,2022-05-03,América-MG,Atlético-MG,1-2,1-2,
4,Wed,2022-05-04,Deportes Tolima (COL),Independiente del Valle (ECU),1-0,0-0,
5,Wed,2022-05-18,Deportes Tolima (COL),América-MG,2-2,2-2,
5,Thu,2022-05-19,Atlético-MG,Independiente del Valle (ECU),3-1,1-0,
6,Wed,2022-05-25,Independiente del Valle (ECU),América-MG,3-0,2-0,
6,Wed,2022-05-25,Atlético-MG,Deportes Tolima (COL),1-2,0-0,
1,Tue,2022-04-05,Always Ready (BOL),Corinthians,2-0,1-0,
1,Tue,2022-04-05,Deportivo Cali (COL),Boca Juniors (ARG),2-0,0-0,
2,Tue,2022-04-12,Boca Juniors (ARG),Always Ready (BOL),2-0,1-0,
2,Wed,2022-04-13,Corinthians,Deportivo Cali (COL),1-0,0-0,
3,Tue,2022-04-26,Corinthians,Boca Juniors (ARG),2-0,1-0,
3,Thu,2022-04-28,Always Ready (BOL),Deportivo Cali (COL),2-2,2-1,
4,Wed,2022-05-04,Always Ready (BOL),Boca Juniors (ARG),0-1,0-1,
4,Wed,2022-05-04,Deportivo Cali (COL),Corinthians,0-0,,
5,Tue,2022-05-17,Boca Juniors (ARG),Corinthians,1-1,1-1,
5,Thu,2022-05-19,Deportivo Cali (COL),Always Ready (BOL),3-0,1-0,
6,Thu,2022-05-26,Corinthians,Always Ready (BOL),1-1,1-1,
6,Thu,2022-05-26,Boca Juniors (ARG),Deportivo Cali (COL),1-0,0-0,
1,Wed,2022-04-06,Alianza Lima (PER),River Plate (ARG),0-1,0-0,
1,Thu,2022-04-07,Fortaleza,Colo-Colo (CHI),1-2,0-1,
2,Wed,2022-04-13,Colo-Colo (CHI),Alianza Lima (PER),2-1,1-0,
2,Wed,2022-04-13,River Plate (ARG),Fortaleza,2-0,2-0,
3,Wed,2022-04-27,Fortaleza,Alianza Lima (PER),2-1,0-0,
3,Wed,2022-04-27,Colo-Colo (CHI),River Plate (ARG),1-2,0-0,
4,Thu,2022-05-05,Fortaleza,River Plate (ARG),1-1,1-1,
4,Thu,2022-05-05,Alianza Lima (PER),Colo-Colo (CHI),1-1,0-1,
5,Wed,2022-05-18,Alianza Lima (PER),Fortaleza,0-2,0-1,
5,Thu,2022-05-19,River Plate (ARG),Colo-Colo (CHI),4-0,1-0,
6,Wed,2022-05-25,River Plate (ARG),Alianza Lima (PER),8-1,3-0,
6,Wed,2022-05-25,Colo-Colo (CHI),Fortaleza,3-4,1-2,
1,Tue,2022-04-05,Club Olimpia (PAR),Cerro Porteño (PAR),0-0,,
1,Tue,2022-04-05,Colón de Santa Fe (ARG),Peñarol (URU),2-1,1-0,
2,Tue,2022-04-12,Cerro Porteño (PAR),Colón de Santa Fe (ARG),3-1,1-1,
2,Tue,2022-04-12,Peñarol (URU),Club Olimpia (PAR),2-1,1-0,
3,Wed,2022-04-27,Cerro Porteño (PAR),Peñarol (URU),1-0,1-0,
3,Thu,2022-04-28,Club Olimpia (PAR),Colón de Santa Fe (ARG),0-0,,
4,Wed,2022-05-04,Colón de Santa Fe (ARG),Cerro Porteño (PAR),2-1,1-0,
4,Wed,2022-05-04,Club Olimpia (PAR),Peñarol (URU),1-0,1-0,
5,Tue,2022-05-17,Peñarol (URU),Cerro Porteño (PAR),0-0,,
5,Wed,2022-05-18,Colón de Santa Fe (ARG),Club Olimpia (PAR),2-1,1-1,
6,Wed,2022-05-25,Cerro Porteño (PAR),Club Olimpia (PAR),0-1,0-1,
6,Wed,2022-05-25,Peñarol (URU),Colón de Santa Fe (ARG),2-1,0-1,
1,Tue,2022-04-05,Sporting Cristal (PER),Flamengo,0-2,0-1,
1,Wed,2022-04-06,Talleres de Córdoba (ARG),Universidad Católica (CHI),1-0,1-0,
2,Tue,2022-04-12,Universidad Católica (CHI),Sporting Cristal (PER),2-1,1-0,
2,Tue,2022-04-12,Flamengo,Talleres de Córdoba (ARG),3-1,2-1,
3,Tue,2022-04-26,Talleres de Córdoba (ARG),Sporting Cristal (PER),1-0,0-0,
3,Thu,2022-04-28,Universidad Católica (CHI),Flamengo,2-3,1-2,
4,Wed,2022-05-04,Talleres de Córdoba (ARG),Flamengo,2-2,1-0,
4,Wed,2022-05-04,Sporting Cristal (PER),Universidad Católica (CHI),1-1,1-0,
5,Tue,2022-05-17,Flamengo,Universidad Católica (CHI),3-0,2-0,
5,Tue,2022-05-17,Sporting Cristal (PER),Talleres de Córdoba (ARG),0-0,,
6,Tue,2022-05-24,Flamengo,Sporting Cristal (PER),2-1,1-0,
6,Tue,2022-05-24,Universidad Católica (CHI),Talleres de Córdoba (ARG),0-1,0-0,
Round of 16,Tue,2022-06-28,Emelec (ECU),Atlético-MG,1-1,0-1,
Round of 16,Tue,2022-06-28,Corinthians,Boca Juniors (ARG),0-0,,
Round of 16,Tue,2022-06-28,Athletico-PR,Libertad (PAR),2-1,2-1,
Round of 16,Wed,2022-06-29,Cerro Porteño (PAR),Palmeiras,0-3,0-0,
Round of 16,Wed,2022-06-29,Talleres de Córdoba (ARG),Colón de Santa Fe (ARG),1-1,0-0,
Round of 16,Wed,2022-06-29,Deportes Tolima (COL),Flamengo,0-1,0-1,
Round of 16,Wed,2022-06-29,Vélez Sarsfield (ARG),River Plate (ARG),1-0,1-0,
Round of 16,Thu,2022-06-30,Fortaleza,Estudiantes (ARG),1-1,0-0,
Round of 16,Tue,2022-07-05,Atlético-MG,Emelec (ECU),1-0,0-0,
Round of 16,Tue,2022-07-05,Boca Juniors (ARG),Corinthians,0-0,0-0,5-6
Round of 16,Tue,2022-07-05,Libertad (PAR),Athletico-PR,1-1,1-0,
Round of 16,Wed,2022-07-06,Palmeiras,Cerro Porteño (PAR),5-0,1-0,
Round of 16,Wed,2022-07-06,Colón de Santa Fe (ARG),Talleres de Córdoba (ARG),0-2,0-0,
Round of 16,Wed,2022-07-06,Flamengo,Deportes Tolima (COL),7-1,2-0,
Round of 16,Wed,2022-07-06,River Plate (ARG),Vélez Sarsfield (ARG),0-0,,
Round of 16,Thu,2022-07-07,Estudiantes (ARG),Fortaleza,3-0,1-0,
Quarterfinals,Tue,2022-08-02,Corinthians,Flamengo,0-2,0-1,
Quarterfinals,Wed,2022-08-03,Vélez Sarsfield (ARG),Talleres de Córdoba (ARG),3-2,1-0,
Quarterfinals,Wed,2022-08-03,Atlético-MG,Palmeiras,2-2,1-0,
Quarterfinals,Thu,2022-08-04,Athletico-PR,Estudiantes (ARG),0-0,,
Quarterfinals,Tue,2022-08-09,Flamengo,Corinthians,1-0,0-0,
Quarterfinals,Wed,2022-08-10,Talleres de Córdoba (ARG),Vélez Sarsfield (ARG),0-1,0-0,
Quarterfinals,Wed,2022-08-10,Palmeiras,Atlético-MG,0-0,0-0,6-5
Quarterfinals,Thu,2022-08-11,Estudiantes (ARG),Athletico-PR,0-1,0-0,
Semifinals,Tue,2022-08-30,Athletico-PR,Palmeiras,1-0,1-0,
Semifinals,Wed,2022-08-31,Vélez Sarsfield (ARG),Flamengo,0-4,0-2,
Semifinals,Tue,2022-09-06,Palmeiras,Athletico-PR,2-2,1-0,
Semifinals,Wed,2022-09-07,Flamengo,Vélez Sarsfield (ARG),2-1,1-1,
Final,Sat,2022-10-29,Flamengo,Athletico-PR,1-0,1-0,
