Matchday,Date,Home,Away,FullTime
Rosa Chevallier Boutell Cup,1943-07-11,Paraguay,Argentina,2-1
Rosa Chevallier Boutell Cup,1945-01-06,Argentina,Paraguay,5-2
Rosa Chevallier Boutell Cup,1945-01-09,Argentina,Paraguay,5-3
Rosa Chevallier Boutell Cup,1945-07-07,Paraguay,Argentina,5-1
Rosa Chevallier Boutell Cup,1945-07-09,Paraguay,Argentina,1-3
Lipton Cup,1945-07-18,Uruguay,Argentina,2-2
Newton Cup,1945-08-15,Argentina,Uruguay,6-2
Roca Cup,1945-12-16,Brazil,Argentina,3-4
Roca Cup,1945-12-20,Brazil,Argentina,6-2
Roca Cup,1945-12-23,Brazil,Argentina,3-1
Rio Branco Cup,1946-01-05,Uruguay,Brazil,4-3
Rio Branco Cup,1946-01-09,Uruguay,Brazil,1-1
Rio Branco Cup,1947-03-29,Uruguay,Brazil,0-0
Rio Branco Cup,1947-04-01,Brazil,Uruguay,3-2
Balkan & C European Champ,1947-05-25,Albania,Romania,0-4
Balkan & C European Champ,1947-06-15,Bulgaria,Albania,2-0
Balkan & C European Champ,1947-06-22,Romania,Yugoslavia,1-3
Balkan & C European Champ,1947-06-29,Yugoslavia,Hungary,2-3
Balkan & C European Champ,1947-07-06,Bulgaria,Romania,2-3
North American Champ,1947-07-13,Mexico,United States,5-0
North American Champ,1947-07-17,Cuba,Mexico,1-3
North American Champ,1947-07-20,Cuba,United States,5-2
Balkan & C European Champ,1947-08-17,Hungary,Bulgaria,9-0
Balkan & C European Champ,1947-08-20,Hungary,Albania,3-0
Balkan & C European Champ,1947-09-14,Albania,Yugoslavia,2-4
Balkan & C European Champ,1947-10-12,Romania,Hungary,0-3
Balkan & C European Champ,1947-10-12,Yugoslavia,Bulgaria,2-1
Triangulaire,1947-12-31,Madagascar,Mauritius,1-2
Triangulaire,1947-12-31,Madagascar,Reunion,4-2
Triangulaire,1947-12-31,Mauritius,Reunion,2-1
Bolivarian Games,1948-01-05,Bolivia,Venezuela,2-2
Rio Branco Cup,1948-04-04,Uruguay,Brazil,1-1
Balkan & C European Champ,1948-04-04,Bulgaria,Poland,1-1
Rio Branco Cup,1948-04-11,Uruguay,Brazil,4-2
Balkan & C European Champ,1948-04-18,Poland,Czechoslovakia,3-1
Balkan & C European Champ,1948-05-02,Romania,Albania,0-1
Balkan & C European Champ,1948-05-23,Albania,Hungary,0-0
Balkan & CE Champ & Intl Cup,1948-05-23,Hungary,Czechoslovakia,2-1
Balkan & C European Champ,1948-06-06,Hungary,Romania,9-0
Balkan & C European Champ,1948-06-20,Romania,Bulgaria,3-2
Balkan & C European Champ,1948-06-27,Yugoslavia,Albania,0-0
Balkan & C European Champ,1948-07-04,Romania,Czechoslovakia,2-1
Balkan & C European Champ,1948-07-04,Bulgaria,Yugoslavia,1-3
