Matchday,Date,Home,Away,FullTime
South Pacific Games,1995-08-16,New Caledonia,Cook Islands,9-0
South Pacific Games,1995-08-16,Fiji,Papua New Guinea,2-2
South Pacific Games,1995-08-16,Solomon Islands,Wallis and Futuna,12-1
South Pacific Games,1995-08-17,Tahiti,Wallis and Futuna,13-0
South Pacific Games,1995-08-18,Solomon Islands,New Caledonia,1-0
South Pacific Games,1995-08-19,Tahiti,Solomon Islands,4-2
South Pacific Games,1995-08-19,Cook Islands,Wallis and Futuna,2-1
South Pacific Games,1995-08-20,Fiji,Guam,8-0
South Pacific Games,1995-08-20,New Caledonia,Wallis and Futuna,10-0
South Pacific Games,1995-08-20,Vanuatu,Papua New Guinea,3-0
South Pacific Games,1995-08-21,Tahiti,New Caledonia,2-0
South Pacific Games,1995-08-21,Solomon Islands,Cook Islands,16-0
South Pacific Games,1995-08-22,Papua New Guinea,Guam,9-0
South Pacific Games,1995-08-22,Fiji,Vanuatu,3-1
South Pacific Games,1995-08-22,Tahiti,Cook Islands,11-0
South Pacific Games,1995-08-24,Tahiti,Vanuatu,3-0
South Pacific Games,1995-08-24,Fiji,Solomon Islands,3-3
South Pacific Games,1995-08-26,Fiji,Vanuatu,3-0
South Pacific Games,1995-08-26,Tahiti,Solomon Islands,2-0
South Pacific Games,2003-06-30,New Caledonia,Papua New Guinea,2-0
South Pacific Games,2003-06-30,Fiji,Vanuatu,0-0
South Pacific Games,2003-06-30,Tahiti,FS Micronesia,17-0
South Pacific Games,2003-06-30,Tuvalu,Kiribati,3-2
South Pacific Games,2003-07-01,New Caledonia,FS Micronesia,18-0
South Pacific Games,2003-07-01,Solomon Islands,Vanuatu,2-2
South Pacific Games,2003-07-01,Fiji,Tuvalu,4-0
South Pacific Games,2003-07-01,Papua New Guinea,Tonga,2-2
South Pacific Games,2003-07-03,New Caledonia,Tonga,4-0
South Pacific Games,2003-07-03,Vanuatu,Tuvalu,1-0
South Pacific Games,2003-07-03,Tahiti,Papua New Guinea,3-0
South Pacific Games,2003-07-03,Solomon Islands,Kiribati,7-0
South Pacific Games,2003-07-05,New Caledonia,Tahiti,4-0
South Pacific Games,2003-07-05,Fiji,Kiribati,12-0
South Pacific Games,2003-07-05,Solomon Islands,Tuvalu,4-0
South Pacific Games,2003-07-05,Tonga,FS Micronesia,7-0
South Pacific Games,2003-07-07,Vanuatu,Kiribati,18-0
South Pacific Games,2003-07-07,Fiji,Solomon Islands,2-1
South Pacific Games,2003-07-07,Tahiti,Tonga,4-0
South Pacific Games,2003-07-07,Papua New Guinea,FS Micronesia,10-0
South Pacific Games,2003-07-09,New Caledonia,Vanuatu,1-1
South Pacific Games,2003-07-09,Fiji,Tahiti,2-1
South Pacific Games,2003-07-11,Fiji,New Caledonia,2-0
South Pacific Games,2003-07-11,Vanuatu,Tahiti,1-0
South Pacific Games,2007-08-25,Fiji,Tuvalu,16-0
South Pacific Games,2007-08-27,New Caledonia,Tuvalu,1-0
South Pacific Games,2007-08-29,Tahiti,Tuvalu,1-1
South Pacific Games,2007-09-01,Cook Islands,Tuvalu,4-1
South Pacific Games,2007-09-07,New Caledonia,Fiji,1-0
